               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.032071,            0.018728,                   0,             0.56007,             0.52191,              0.4398,             0.18689,            0.053882,            0.020921,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.031872,            0.018096,                   0,             0.60959,             0.49801,             0.43094,             0.18314,            0.053699,            0.021639,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.031551,            0.018317,                   0,             0.57355,             0.48207,             0.43019,             0.18037,               0.055,            0.020929,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.031348,            0.018227,                   0,             0.52484,             0.51394,             0.41818,             0.17984,            0.054937,            0.021268,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.031194,            0.018095,                   0,             0.57067,             0.49004,             0.44446,             0.18875,            0.053632,            0.021725,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.031099,            0.017765,                   0,             0.56165,             0.47809,             0.42558,             0.18513,            0.055931,            0.021853,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.030662,            0.017815,                   0,             0.57473,             0.49402,             0.42819,             0.17437,              0.0548,            0.021702,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.030654,            0.017477,                   0,             0.58121,             0.52988,             0.44697,             0.18961,            0.054821,            0.021392,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.030341,            0.017508,                   0,             0.56584,             0.50598,             0.43845,             0.19147,            0.053455,            0.022395,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.030185,            0.017536,                   0,             0.64792,             0.46215,             0.44156,             0.18478,            0.053481,            0.022323,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.030275,            0.017183,                   0,              0.6016,             0.49332,             0.43882,             0.18937,            0.054048,             0.02204,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.029676,            0.017465,                   0,             0.56707,             0.52191,             0.44896,             0.19855,            0.053853,             0.02132,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.029632,            0.017309,                   0,             0.57767,             0.56175,             0.48392,             0.20517,            0.053062,             0.02153,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.029233,            0.017248,                   0,              0.6361,             0.49801,             0.45216,             0.19594,            0.052935,            0.022405,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.028973,            0.017171,                   0,             0.57722,             0.51793,             0.43865,             0.19062,            0.053803,            0.022177,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.02902,            0.016859,                   0,             0.60906,             0.45817,             0.44401,             0.18907,            0.053654,            0.022815,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.029139,            0.016865,                   0,             0.59149,             0.50598,             0.45434,             0.19554,            0.053343,             0.02201,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.028647,            0.017033,                   0,              0.6606,             0.45418,             0.45625,             0.19254,             0.05472,            0.022774,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.028322,            0.016732,                   0,               0.575,             0.49402,             0.44642,             0.18764,            0.054417,             0.02282,                   0,            0.002872,            0.002872,            0.002872
